Unique ID,PostedTime,Lat,Long,SaleType,HouseType,Address,Verified,LoanVerified,Price,Negotiable,Area,Measure,MonthlyEMI,Bedrooms,Bathrooms,FloorType,Balconies,ShortAddress,Bldgtype,Age,OwnedBy,Maintanance,FloorType2,Area2,Furnished,Facing,FloorOn,Parking,PowerBackup,WaterSupply,propid,
1,"Feb 27, 2018 6:23:15 PM",19.07617049,72.86627361,Resale,"2 BHK for sale,
Bright apartment","Bright Apartment, Bright Apartment, Kolivery Village Ne ...",Pre-verified,Loan Verified,2.15 Crores,Negotiable,"1,060",Sq.Ft,1.67 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Bright apartment,Apartment,>10 years old,Self Owned,3.3 per sq.ft/m,Vitrified Tiles,"1,060 sq.ft",Semi,North,Floor 3 / 7,Bike and Car,NA,Corporation,ff8081815b38ebc2015b3a2750b35955,
2,"Apr 4, 2018 1:14:30 PM",19.247946,72.8563526,Resale,"2 BHK for sale,
Vini Garden","Vini Garden, Near Mary Immaculate School, Mandpeshwar R ...",Pre-verified,Loan Verified,1.4 Crores,Negotiable,861,Sq.Ft,1.09 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Vini Garden,Apartment,>10 years old,Self Owned,3.5 per sq.ft/m,Vitrified Tiles,861 sq.ft,Semi,West,Floor 3 / 7,Bike and Car,NA,Both,ff80818162538115016253836a850049,
3,"Mar 26, 2018 8:15:26 PM",19.20762825,72.83790588,Resale,"1 BHK for sale,
Green Arch Housing Socie","Green Arch Housing Society, Anukar Wadi, Sonapor Lane, ...",Pre-verified,Loan Verified,85 Lacs,Negotiable,600,Sq.Ft,66.07 K/Month,1 bedrooms,1 Bath,Cement,0 Balconies,Green Arch Housing,Apartment,>10 years old,Self Owned,1.7 per sq.ft/m,Cement,600 sq.ft,Unfurnished,East,Floor 5 / 6,Bike and Car,Full,Corporation,ff808181625fd82b016260c7d89c33a4,
4,"May 17, 2018 3:15:59 PM",19.0951802,72.9145831,Resale,"2 BHK for sale,
Damodar Park building","Damodar Park Building, Lal Bahadur Shastri Rd, Near Sta ...",Pre-verified,Loan Verified,1.2 Crores,Negotiable,820,Sq.Ft,93.28 K/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Damodar Park buildi,Apartment,>10 years old,Self Owned,3.7 per sq.ft/m,Vitrified Tiles,820 sq.ft,Semi,East,Floor 2 / 6,Bike and Car,NA,Corporation,ff8081816135ff3e01613d7649af7e4a,
5,"May 24, 2018 1:40:49 PM",19.11762987,72.82795676,Resale,"4 BHK for sale,
Rajgir Milap","Rajgir Milap, Kapaswadi Near Juhu Circle, Near Karachi ...",Pre-verified,Loan Verified,6.25 Crores,Negotiable,"1,800",Sq.Ft,4.86 Lacs/Month,4 bedrooms,3 Baths,Marble/Granite,0 Balconies,Rajgir Milap,Apartment,>10 years old,Self Owned,6.7 per sq.ft/m,Marble/Granite,"1,800 sq.ft",Full,NA,Floor 6 / 6,Car,NA,Corporation,ff80818163684ebf01636892c0d9305d,
6,NA,19.12623585,72.84449218,Resale,"2 BHK for sale,
IORA","Iora, Jai Mata Bhavani Road, Amboli, Near Shiv Sena Office",Pre-verified,Loan Verified,2.1 Crores,Negotiable,950,Sq.Ft,1.63 Lacs/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,IORA,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818163977a5701639b65ccc45314,
7,"Jun 2, 2018 5:03:35 PM",19.1460094,72.9360411,Resale,"1 BHK for sale,
Mayuresh Park","Mayuresh Park, Near To Bhandup Station Police Chowki,st ...",Pre-verified,Loan Verified,90 Lacs,Negotiable,575,Sq.Ft,69.96 K/Month,1 bedrooms,2 Baths,Vitrified Tiles,1 Balcony,Mayuresh Park,Apartment,>10 years old,Self Owned,6.1 per sq.ft/m,Vitrified Tiles,575 sq.ft,Full,East,Floor 7 / 7,Bike and Car,Partial,Both,ff8081816312bb6901631559f08749bb,
8,NA,19.147409,72.7945341,Resale,"2 BHK for sale,
Raheja Exotica Ocean Cit","Raheja Exotica Ocean City, Madh Island, Malad West, Mumbai",Pre-verified,Loan Verified,1.55 Crores,Negotiable,"1,041",Sq.Ft,1.2 Lacs/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Raheja Exotica Ocea,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff8081816205b99f0162092c7d6a63fe,
9,"Jun 7, 2018 3:47:49 PM",19.1673213,72.8767653,Resale,"1 BHK for sale,
Jyoti Complex","Jyoti Complex, Film City Rd, Near Santosh Nagar Bus Stop",Pre-verified,Loan Verified,90 Lacs,Negotiable,502,Sq.Ft,69.96 K/Month,1 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Jyoti Complex,Apartment,>10 years old,Self Owned,5.9 per sq.ft/m,Vitrified Tiles,502 sq.ft,Semi,South,Floor 7 / 7,Car,NA,Both,ff80818160c5ed140160d1e98906719e,
10,"May 29, 2018 4:42:35 PM",19.2135406,72.831724,Resale,"2 BHK for sale,
Blue Arch CHS","Blue Arch Chs, Shravan Nagar, Near Gaurav Gardens",Pre-verified,Loan Verified,1.35 Crores,Negotiable,905,Sq.Ft,1.05 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,0 Balconies,Blue Arch CHS,Apartment,>10 years old,Self Owned,2.7 per sq.ft/m,Marble/Granite,905 sq.ft,Semi,North,Floor 1 / 7,Bike and Car,Full,Corporation,ff8081815baf1180015bb05087332fe2,
