Lat,Long,Negotiable,Area,NoofBedrooms,NoofBathrooms,FloorType,NoofBalconies,Age,Maint_sqft,Furnished,Facing,OnFloor,NooffloorsinBldg,Parking,PowerBackup,WaterSupply,HousePriceinK
19.07617049,72.86627361,Negotiable,1060,2,2,Vitrified Tiles,0,>10 years old,3.3,Semi,North,3,7,Bike and Car,NA,Corporation,21500
19.247946,72.8563526,Negotiable,861,2,2,Vitrified Tiles,0,>10 years old,3.5,Semi,West,3,7,Bike and Car,NA,Both,14e3
19.20762825,72.83790588,Negotiable,600,1,1,Cement,0,>10 years old,1.7,Unfurnished,East,5,6,Bike and Car,Full,Corporation,8500
19.0951802,72.9145831,Negotiable,820,2,2,Vitrified Tiles,0,>10 years old,3.7,Semi,East,2,6,Bike and Car,NA,Corporation,12e3
19.11762987,72.82795676,Negotiable,1800,4,3,Marble/Granite,0,>10 years old,6.7,Full,NA,6,6,Car,NA,Corporation,62500
19.12623585,72.84449218,Negotiable,950,2,2,Vitrified Tiles,3,>10 years old,5.3,Semi,West,4,7,Car,NA,Both,21e3
19.1460094,72.9360411,Negotiable,575,1,2,Vitrified Tiles,1,>10 years old,6.1,Full,East,7,7,Bike and Car,Partial,Both,9e3
19.147409,72.7945341,Negotiable,1041,2,2,Vitrified Tiles,1,>10 years old,6.2,Unfurnished,NA,14,14,Car,NA,Both,15500
19.1673213,72.8767653,Negotiable,502,1,2,Vitrified Tiles,0,>10 years old,5.9,Semi,South,7,7,Car,NA,Both,9e3
19.2135406,72.831724,Negotiable,905,2,2,Marble/Granite,0,>10 years old,2.7,Semi,North,1,7,Bike and Car,Full,Corporation,13500
19.2461644,72.8509056,Negotiable,1080,3,3,Vitrified Tiles,0,>10 years old,2.3,Semi,NA,0,7,Car,None,Corporation,19200
19.1370256,72.8549697,Negotiable,365,1,1,NA,0,>10 years old,2.7,Unfurnished,East,2,7,Car,NA,Corporation,5500
19.1760717,72.9653036,Negotiable,1800,3,2,Vitrified Tiles,0,Newly Constructed,3.6,Unfurnished,South-West,7,7,Bike and Car,NA,Corporation,22e3
19.2036101,72.8276647,Negotiable,900,2,3,Mosaic,0,5-10 years old,5,Unfurnished,West,8,10,Bike and Car,NA,Corporation,14500
19.213907,72.873898,Negotiable,555,1,2,Vitrified Tiles,0,>10 years old,5.4,Semi,East,3,8,None,Full,Corporation,10600
19.2366823,72.8731863,Negotiable,935,2,2,Marble/Granite,3,5-10 years old,4.8,Unfurnished,East,6,13,Car,Full,Borewell,13500
19.13115206,72.82484758,Negotiable,650,2,3,Mosaic,0,>10 years old,4.6,Semi,North,3,4,Car,None,Corporation,19800
19.0815152,72.8444534,Negotiable,740,1,2,Marble/Granite,1,>10 years old,2.7,Semi,East,2,3,Bike and Car,None,Corporation,17500
19.175225,72.864815,Negotiable,800,2,2,Marble/Granite,0,>10 years old,4.4,Semi,East,6,7,Bike and Car,NA,Corporation,13500
19.0035128,72.8548804,Negotiable,1150,2,2,Marble/Granite,2,5-10 years old,10,Semi,South,6,17,Car,Full,Corporation,27e3
19.0322376,72.8907502,Negotiable,715,1,2,Vitrified Tiles,1,3-5 years old,5.6,Unfurnished,East,9,12,Bike and Car,NA,Corporation,9500
19.13357567,72.84087516,Negotiable,612,1,2,Vitrified Tiles,1,>10 years old,6.2,Semi,North-West,2,6,Car,NA,Corporation,11e3
19.2461644,72.8509056,Negotiable,970,2,2,Vitrified Tiles,0,>10 years old,3.4,Full,East,5,7,Bike and Car,NA,Both,17500
19.2210386,72.8667032,Negotiable,550,1,1,Vitrified Tiles,1,>10 years old,2.7,Full,East,2,7,Bike and Car,Full,Both,11500
19.2461644,72.8509056,Negotiable,880,2,2,Vitrified Tiles,3,>10 years old,6.6,Semi,NA,1,12,Bike and Car,NA,Both,19e3
19.129166,72.8395155,Negotiable,1152,2,2,Vitrified Tiles,0,1-3 years old,4.3,Unfurnished,East,11,15,Bike and Car,Partial,Corporation,22500
19.196173,72.8470555,Negotiable,600,1,2,Vitrified Tiles,2,>10 years old,1.3,Full,North,4,4,Bike and Car,Partial,Both,8700
19.1845194,72.8640157,Negotiable,600,1,1,Vitrified Tiles,0,>10 years old,2.8,Semi,North,5,6,Bike and Car,NA,Corporation,9500
19.1823658,72.8614113,Negotiable,1290,2,2,Marble/Granite,3,1-3 years old,11.6,Semi,NA,37,45,Bike and Car,NA,Both,24e3
19.1770486,72.9624957,Negotiable,690,2,1,Vitrified Tiles,2,>10 years old,2.6,Full,North-East,1,5,Bike and Car,None,Both,12500
19.07082521,72.8397883,Negotiable,300,1,1,Vitrified Tiles,0,1-3 years old,16.7,Unfurnished,East,4,7,Car,None,Corporation,14e3
19.2511513,72.8635051,Negotiable,1030,2,2,Vitrified Tiles,0,Newly Constructed,0,Semi,East,2,7,None,NA,Both,13e3
19.155924,72.9398184,Negotiable,890,2,2,Vitrified Tiles,0,>10 years old,3,Full,East,7,7,Bike and Car,None,Both,13e3
19.1612127,72.9375465,Negotiable,1215,3,3,Vitrified Tiles,0,5-10 years old,5.3,Semi,North-East,21,25,Bike and Car,NA,Both,22500
19.19207562,72.83214772,Negotiable,450,1,1,Cement,0,>10 years old,2.4,Semi,South,1,4,None,NA,Corporation,7100
19.1574488,72.8346606,Negotiable,932,2,2,Vitrified Tiles,2,5-10 years old,2,Semi,East,2,6,Bike and Car,Full,Both,13700.000000000002
19.1509879,72.9315251,Negotiable,640,1,2,Vitrified Tiles,0,5-10 years old,6.3,Semi,East,3,14,Bike and Car,Full,Both,1e4
19.151659,72.844386,Negotiable,1435,3,3,Marble/Granite,0,>10 years old,4.9,Unfurnished,East,11,14,Bike,NA,Corporation,24500
19.0908063,72.9076669,Negotiable,370,1,1,Vitrified Tiles,2,5-10 years old,1.9,Semi,East,6,7,Bike and Car,NA,Both,6500
19.1363246,72.82766,Negotiable,1100,3,2,Vitrified Tiles,2,5-10 years old,3.2,Full,NA,13,16,Bike and Car,None,Corporation,3e4
19.0023693,72.847091,Negotiable,660,1,1,Vitrified Tiles,0,>10 years old,3,Full,East,4,4,Bike,NA,Both,16e3
19.1236489,72.8421772,Negotiable,425,1,1,Marble/Granite,0,>10 years old,3.5,Semi,East,0,3,Bike and Car,None,Corporation,11e3
19.1725542,72.942537,Negotiable,855,2,2,Marble/Granite,0,>10 years old,4.9,Semi,East,9,16,Bike and Car,Full,Both,16e3
